palavra,embedding_descricao,embedding_logradouro_bairro,embedding_combined
assi,"[-0.02518241  0.08318413 -0.02339795  0.04912153  0.00045501 -0.18296713
  0.08888357  0.26404032 -0.03024426 -0.05201922 -0.01182329 -0.13416195
 -0.05472056  0.00986326  0.00483467 -0.06371186  0.04929034 -0.14624676
 -0.11204842 -0.22839513  0.02772759 -0.01483856  0.11572865 -0.05995052
 -0.01174886  0.04275198 -0.10678458 -0.07049703 -0.13352025 -0.01562433
  0.0690164   0.0345049   0.05536509 -0.07233429 -0.13701275  0.10024516
  0.02410063 -0.15461943 -0.08459145 -0.24483281 -0.00047901 -0.17226382
 -0.08112589 -0.10301895  0.13753217 -0.07512025 -0.06695673 -0.04811393
  0.05906207  0.05651658  0.07907823 -0.0804853   0.04160478 -0.01125224
 -0.08360787  0.05245854  0.07538874 -0.02013909 -0.17442964  0.03613165
  0.04474096 -0.04706051  0.01095765 -0.11037648 -0.19528149  0.1498184
  0.06226696  0.12671205 -0.17830774  0.13697454 -0.12491519  0.06948555
  0.11344351 -0.03547382  0.07355181  0.10243884  0.03913039  0.02017113
 -0.12002535 -0.00953997 -0.04613029  0.02277442 -0.13921155  0.17356484
 -0.0478844   0.01829473  0.03129908  0.1721718   0.10808001 -0.0475726
  0.16311294  0.04559456  0.00094443 -0.04437102  0.09110927  0.12210785
  0.04048889 -0.0457485   0.08580759 -0.0099214 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.02518241  0.08318413 -0.02339795  0.04912153  0.00045501 -0.18296713
  0.08888357  0.26404032 -0.03024426 -0.05201922 -0.01182329 -0.13416195
 -0.05472056  0.00986326  0.00483467 -0.06371186  0.04929034 -0.14624676
 -0.11204842 -0.22839513  0.02772759 -0.01483856  0.11572865 -0.05995052
 -0.01174886  0.04275198 -0.10678458 -0.07049703 -0.13352025 -0.01562433
  0.0690164   0.0345049   0.05536509 -0.07233429 -0.13701275  0.10024516
  0.02410063 -0.15461943 -0.08459145 -0.24483281 -0.00047901 -0.17226382
 -0.08112589 -0.10301895  0.13753217 -0.07512025 -0.06695673 -0.04811393
  0.05906207  0.05651658  0.07907823 -0.0804853   0.04160478 -0.01125224
 -0.08360787  0.05245854  0.07538874 -0.02013909 -0.17442964  0.03613165
  0.04474096 -0.04706051  0.01095765 -0.11037648 -0.19528149  0.14981841
  0.06226696  0.12671205 -0.17830774  0.13697454 -0.12491519  0.06948555
  0.11344351 -0.03547382  0.07355181  0.10243884  0.03913039  0.02017113
 -0.12002535 -0.00953997 -0.04613029  0.02277442 -0.13921155  0.17356484
 -0.0478844   0.01829473  0.03129908  0.1721718   0.10808001 -0.0475726
  0.16311294  0.04559456  0.00094443 -0.04437102  0.09110927  0.12210785
  0.04048889 -0.0457485   0.08580759 -0.0099214   0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]"
martim,"[-2.69942824e-02  1.03125475e-01  1.09261498e-02  4.17256914e-02
 -2.17454683e-04 -2.50194460e-01  1.27188474e-01  3.29394937e-01
 -3.67656238e-02 -6.07482418e-02  2.50989739e-02 -1.86345384e-01
 -5.16979955e-02  2.34364551e-02 -2.09669601e-02 -1.19074002e-01
  2.64931116e-02 -1.85675755e-01 -1.58192128e-01 -3.23620915e-01
  5.52427471e-02 -1.67841427e-02  1.44954577e-01 -6.45087883e-02
  1.59586351e-02  4.66323942e-02 -1.44468114e-01 -1.22475959e-01
 -1.78051382e-01 -4.34201211e-02  7.84874186e-02  7.27408677e-02
  5.78856170e-02 -1.00685991e-01 -2.03855038e-01  1.23609617e-01
  1.60725154e-02 -2.24097788e-01 -1.22508176e-01 -3.61241698e-01
  2.24307296e-05 -2.08561450e-01 -1.13908924e-01 -1.30498037e-01
  2.11361855e-01 -8.41814429e-02 -8.71434212e-02 -5.24377227e-02
  6.41294047e-02  7.11755306e-02  1.30428910e-01 -1.36308029e-01
  2.76078861e-02 -6.38282485e-03 -1.15971558e-01  5.74633144e-02
  1.30705222e-01 -3.18006761e-02 -2.32149199e-01  6.53026849e-02
  4.67651375e-02 -5.91750816e-02  3.11588626e-02 -1.38066277e-01
 -2.67145425e-01  1.73849061e-01  8.72986913e-02  1.93323866e-01
 -2.62086958e-01  1.80941373e-01 -1.42020524e-01  7.73343146e-02
  1.56999931e-01 -4.44226973e-02  7.63907358e-02  1.48724511e-01
  2.59886067e-02  2.39623133e-02 -1.93767026e-01 -8.55049770e-03
 -4.27185930e-02  2.74612512e-02 -1.93634912e-01  2.22880974e-01
 -8.76231417e-02  1.82496216e-02  5.67894056e-02  2.42096871e-01
  1.41874462e-01 -6.93087727e-02  2.11424381e-01  8.17689449e-02
  9.48722009e-03 -6.46432266e-02  1.55901715e-01  1.78267509e-01
  7.71156102e-02 -7.45469779e-02  1.38424218e-01 -5.27349673e-02]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-2.69942824e-02  1.03125475e-01  1.09261498e-02  4.17256914e-02
 -2.17454683e-04 -2.50194460e-01  1.27188474e-01  3.29394937e-01
 -3.67656238e-02 -6.07482418e-02  2.50989739e-02 -1.86345384e-01
 -5.16979955e-02  2.34364551e-02 -2.09669601e-02 -1.19074002e-01
  2.64931116e-02 -1.85675755e-01 -1.58192128e-01 -3.23620915e-01
  5.52427471e-02 -1.67841427e-02  1.44954577e-01 -6.45087883e-02
  1.59586351e-02  4.66323942e-02 -1.44468114e-01 -1.22475959e-01
 -1.78051382e-01 -4.34201211e-02  7.84874186e-02  7.27408677e-02
  5.78856170e-02 -1.00685991e-01 -2.03855038e-01  1.23609617e-01
  1.60725154e-02 -2.24097788e-01 -1.22508176e-01 -3.61241698e-01
  2.24307296e-05 -2.08561450e-01 -1.13908924e-01 -1.30498037e-01
  2.11361855e-01 -8.41814429e-02 -8.71434212e-02 -5.24377227e-02
  6.41294047e-02  7.11755306e-02  1.30428910e-01 -1.36308029e-01
  2.76078861e-02 -6.38282485e-03 -1.15971558e-01  5.74633144e-02
  1.30705222e-01 -3.18006761e-02 -2.32149199e-01  6.53026849e-02
  4.67651375e-02 -5.91750816e-02  3.11588626e-02 -1.38066277e-01
 -2.67145425e-01  1.73849061e-01  8.72986913e-02  1.93323866e-01
 -2.62086958e-01  1.80941373e-01 -1.42020524e-01  7.73343146e-02
  1.56999931e-01 -4.44226973e-02  7.63907358e-02  1.48724511e-01
  2.59886067e-02  2.39623133e-02 -1.93767026e-01 -8.55049770e-03
 -4.27185930e-02  2.74612512e-02 -1.93634912e-01  2.22880974e-01
 -8.76231417e-02  1.82496216e-02  5.67894056e-02  2.42096871e-01
  1.41874462e-01 -6.93087727e-02  2.11424381e-01  8.17689449e-02
  9.48722009e-03 -6.46432266e-02  1.55901715e-01  1.78267509e-01
  7.71156102e-02 -7.45469779e-02  1.38424218e-01 -5.27349673e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
duzento,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.02247428  0.18973824  0.03172871  0.06919233  0.02997658 -0.41766804
  0.12985288  0.51437527 -0.08468885 -0.08452613 -0.18839005 -0.3461928
 -0.07684578  0.02282405  0.02167865 -0.32928166 -0.06646767 -0.17643337
 -0.09290072 -0.46438462  0.00814925  0.01630909  0.07624225 -0.1573377
 -0.05764575  0.06673192 -0.13009016 -0.21259056 -0.25888425  0.08677386
  0.25710073  0.1997016   0.08013842  0.02338121 -0.3293975   0.24692497
 -0.02388484 -0.22193363 -0.2559863  -0.5224959   0.06780908 -0.39773
  0.06511959 -0.05002266  0.39583197 -0.06390166 -0.1016642  -0.2943971
  0.18196093  0.02586436  0.19929416 -0.14358304  0.11102968  0.01646908
 -0.21045376  0.25350893 -0.02301578  0.12044373 -0.40070397  0.17829554
  0.09702963  0.10593245  0.16820158 -0.18872666 -0.39884955  0.10872178
  0.16144985  0.11484346 -0.3846061   0.27656636 -0.28393573 -0.03215356
  0.24541922  0.04470607  0.25530565  0.16602662  0.03719851 -0.07379107
 -0.21903239  0.1691814   0.0254569  -0.01717083 -0.46150413  0.15059431
 -0.07161356  0.04430324 -0.05716567  0.42897972  0.49728534 -0.05022352
  0.3888932   0.18788734 -0.0015539   0.01964534  0.276623    0.25853387
  0.21191438 -0.17436232  0.09686849 -0.28199953]","[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -0.02247428  0.18973824
  0.03172871  0.06919233  0.02997658 -0.41766804  0.12985288  0.51437527
 -0.08468885 -0.08452613 -0.18839005 -0.34619281 -0.07684578  0.02282405
  0.02167865 -0.32928166 -0.06646767 -0.17643337 -0.09290072 -0.46438462
  0.00814925  0.01630909  0.07624225 -0.1573377  -0.05764575  0.06673192
 -0.13009016 -0.21259056 -0.25888425  0.08677386  0.25710073  0.19970161
  0.08013842  0.02338121 -0.3293975   0.24692497 -0.02388484 -0.22193363
 -0.2559863  -0.52249593  0.06780908 -0.39772999  0.06511959 -0.05002266
  0.39583197 -0.06390166 -0.1016642  -0.29439709  0.18196093  0.02586436
  0.19929416 -0.14358304  0.11102968  0.01646908 -0.21045376  0.25350893
 -0.02301578  0.12044373 -0.40070397  0.17829554  0.09702963  0.10593245
  0.16820158 -0.18872666 -0.39884955  0.10872178  0.16144985  0.11484346
 -0.38460609  0.27656636 -0.28393573 -0.03215356  0.24541922  0.04470607
  0.25530565  0.16602662  0.03719851 -0.07379107 -0.21903239  0.16918141
  0.0254569  -0.01717083 -0.46150413  0.15059431 -0.07161356  0.04430324
 -0.05716567  0.42897972  0.49728534 -0.05022352  0.38889319  0.18788734
 -0.0015539   0.01964534  0.27662301  0.25853387  0.21191438 -0.17436232
  0.09686849 -0.28199953]"
rosário,"[-0.02539164  0.08194472 -0.01816354  0.04281656 -0.02148972 -0.17909783
  0.09728537  0.29114172 -0.01321899 -0.05099508 -0.00108131 -0.14096738
 -0.02336134  0.00304907 -0.00570793 -0.08667985  0.03621075 -0.17128673
 -0.12052167 -0.28419903  0.03229878 -0.0201277   0.10270838 -0.06030763
 -0.01225945  0.03353162 -0.1154807  -0.09925027 -0.15926181 -0.02319895
  0.08547969  0.05066656  0.04591393 -0.07602242 -0.17941098  0.12644099
  0.0243101  -0.19336082 -0.08327633 -0.28583324 -0.00757824 -0.17725202
 -0.08466771 -0.10288598  0.17566726 -0.05632173 -0.07402015 -0.05065251
  0.02930069  0.06198749  0.08283943 -0.10237093  0.0297807   0.00104994
 -0.06398847  0.04807254  0.10486303 -0.05048031 -0.18555826  0.03598798
  0.03552756 -0.05111565  0.03666398 -0.13158506 -0.20960696  0.13689175
  0.07202978  0.1477324  -0.2121988   0.16047083 -0.12934436  0.08705179
  0.1293285  -0.03220608  0.06459128  0.1114141   0.02860483 -0.00220064
 -0.16087863 -0.02686936 -0.02845376  0.02219232 -0.16227627  0.19372876
 -0.05904529  0.03465411  0.04421045  0.20021485  0.12846845 -0.05418123
  0.15298113  0.07817757  0.00665698 -0.0395587   0.12207644  0.16988075
  0.06367508 -0.08370694  0.11636888 -0.01529503]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.02539164  0.08194472 -0.01816354  0.04281656 -0.02148972 -0.17909783
  0.09728537  0.29114172 -0.01321899 -0.05099508 -0.00108131 -0.14096738
 -0.02336134  0.00304907 -0.00570793 -0.08667985  0.03621075 -0.17128673
 -0.12052167 -0.28419903  0.03229878 -0.0201277   0.10270838 -0.06030763
 -0.01225945  0.03353162 -0.1154807  -0.09925027 -0.15926181 -0.02319895
  0.08547969  0.05066656  0.04591393 -0.07602242 -0.17941098  0.12644099
  0.0243101  -0.19336082 -0.08327633 -0.28583324 -0.00757824 -0.17725202
 -0.08466771 -0.10288598  0.17566726 -0.05632173 -0.07402015 -0.05065251
  0.02930069  0.06198749  0.08283943 -0.10237093  0.0297807   0.00104994
 -0.06398847  0.04807254  0.10486303 -0.05048031 -0.18555826  0.03598798
  0.03552756 -0.05111565  0.03666398 -0.13158506 -0.20960696  0.13689175
  0.07202978  0.14773241 -0.21219879  0.16047083 -0.12934436  0.08705179
  0.1293285  -0.03220608  0.06459128  0.1114141   0.02860483 -0.00220064
 -0.16087863 -0.02686936 -0.02845376  0.02219232 -0.16227627  0.19372876
 -0.05904529  0.03465411  0.04421045  0.20021485  0.12846845 -0.05418123
  0.15298113  0.07817757  0.00665698 -0.0395587   0.12207644  0.16988075
  0.06367508 -0.08370694  0.11636888 -0.01529503  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]"
velório,"[-0.02201498  0.08487965 -0.00422188  0.04754962 -0.00108411 -0.18647948
  0.12285908  0.3234932  -0.04022835 -0.07667445  0.03388973 -0.17879976
 -0.03196425  0.00938008 -0.00610696 -0.08800676  0.0528114  -0.16336262
 -0.13556078 -0.3116493   0.04293736 -0.00580839  0.1262811  -0.03332305
 -0.02392822  0.06424944 -0.11833669 -0.08569416 -0.15866424 -0.00439997
  0.08040155  0.04628428  0.0639211  -0.08696964 -0.17950444  0.10331716
  0.02222246 -0.2393681  -0.11399812 -0.3268234  -0.00359074 -0.20213307
 -0.09614111 -0.10000192  0.18824326 -0.08114331 -0.05655619 -0.03278305
  0.05100358  0.07798749  0.09474248 -0.09620114  0.01365314 -0.00748865
 -0.09423191  0.06383053  0.06912454 -0.02812893 -0.20732976  0.05366752
  0.0117884  -0.02099223  0.03674455 -0.1178176  -0.22719735  0.17833142
  0.06886767  0.15724675 -0.22551219  0.17801197 -0.10662475  0.10677706
  0.10669501 -0.04702387  0.08293876  0.12844387  0.03464681 -0.00131531
 -0.14492314 -0.00307441 -0.03167035  0.00612258 -0.16088024  0.216983
 -0.07419598  0.0224586   0.05273636  0.19434397  0.12212791 -0.06717088
  0.18726718  0.07688282 -0.01545852 -0.03832539  0.15831958  0.17175864
  0.0850143  -0.08955785  0.1350157  -0.02648415]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.02201498  0.08487965 -0.00422188  0.04754962 -0.00108411 -0.18647948
  0.12285908  0.32349321 -0.04022835 -0.07667445  0.03388973 -0.17879976
 -0.03196425  0.00938008 -0.00610696 -0.08800676  0.0528114  -0.16336262
 -0.13556078 -0.31164929  0.04293736 -0.00580839  0.1262811  -0.03332305
 -0.02392822  0.06424944 -0.11833669 -0.08569416 -0.15866424 -0.00439997
  0.08040155  0.04628428  0.0639211  -0.08696964 -0.17950444  0.10331716
  0.02222246 -0.2393681  -0.11399812 -0.32682341 -0.00359074 -0.20213307
 -0.09614111 -0.10000192  0.18824326 -0.08114331 -0.05655619 -0.03278305
  0.05100358  0.07798749  0.09474248 -0.09620114  0.01365314 -0.00748865
 -0.09423191  0.06383053  0.06912454 -0.02812893 -0.20732976  0.05366752
  0.0117884  -0.02099223  0.03674455 -0.1178176  -0.22719735  0.17833142
  0.06886767  0.15724675 -0.22551219  0.17801197 -0.10662475  0.10677706
  0.10669501 -0.04702387  0.08293876  0.12844387  0.03464681 -0.00131531
 -0.14492314 -0.00307441 -0.03167035  0.00612258 -0.16088024  0.21698301
 -0.07419598  0.0224586   0.05273636  0.19434397  0.12212791 -0.06717088
  0.18726718  0.07688282 -0.01545852 -0.03832539  0.15831958  0.17175864
  0.0850143  -0.08955785  0.1350157  -0.02648415  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]"
américo,"[-0.02274547  0.07827218  0.01474873  0.05573803  0.0393016  -0.13677536
  0.12120666  0.20855817 -0.00211092 -0.04991094  0.05390036 -0.20174967
 -0.00841405  0.00701422 -0.03417038 -0.12147062  0.08518578 -0.19608465
 -0.11349962 -0.20907655  0.01066012  0.02515644  0.09277731  0.01277739
 -0.01234878  0.04473933 -0.14428656 -0.03448354 -0.15497528 -0.05159112
  0.07634901  0.00546657  0.0101277  -0.13365258 -0.11418192  0.02025986
  0.05237197 -0.12012608 -0.0477699  -0.19353339 -0.07043786 -0.15105762
 -0.09214229 -0.0711623   0.08296734 -0.07326154 -0.08867468  0.03239494
  0.01972902  0.07753392  0.0500461  -0.11111038  0.01148411 -0.02123098
 -0.06349012  0.02198689  0.12836102 -0.02559523 -0.14599797  0.09785216
 -0.0108589  -0.08919124  0.08046916 -0.08238605 -0.20069681  0.08602691
 -0.01325324  0.12925828 -0.18323785  0.07487159 -0.06051104  0.11787049
  0.11431478 -0.09395056  0.03346402  0.04237569 -0.00965661  0.00949475
 -0.12573868 -0.06080186 -0.09155816  0.01360771 -0.08962298  0.18064903
 -0.06554978 -0.01264372  0.0371123   0.15259765  0.14119595 -0.036771
  0.12863804  0.06824914  0.03242519 -0.05112243  0.15449122  0.1539144
  0.06296984 -0.06639684  0.02702981 -0.06517228]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.02274547  0.07827218  0.01474873  0.05573803  0.0393016  -0.13677536
  0.12120666  0.20855817 -0.00211092 -0.04991094  0.05390036 -0.20174967
 -0.00841405  0.00701422 -0.03417038 -0.12147062  0.08518578 -0.19608465
 -0.11349962 -0.20907655  0.01066012  0.02515644  0.09277731  0.01277739
 -0.01234878  0.04473933 -0.14428656 -0.03448354 -0.15497528 -0.05159112
  0.07634901  0.00546657  0.0101277  -0.13365258 -0.11418192  0.02025986
  0.05237197 -0.12012608 -0.0477699  -0.19353339 -0.07043786 -0.15105762
 -0.09214229 -0.0711623   0.08296734 -0.07326154 -0.08867468  0.03239494
  0.01972902  0.07753392  0.0500461  -0.11111038  0.01148411 -0.02123098
 -0.06349012  0.02198689  0.12836102 -0.02559523 -0.14599797  0.09785216
 -0.0108589  -0.08919124  0.08046916 -0.08238605 -0.20069681  0.08602691
 -0.01325324  0.12925828 -0.18323785  0.07487159 -0.06051104  0.11787049
  0.11431478 -0.09395056  0.03346402  0.04237569 -0.00965661  0.00949475
 -0.12573868 -0.06080186 -0.09155816  0.01360771 -0.08962298  0.18064903
 -0.06554978 -0.01264372  0.0371123   0.15259765  0.14119595 -0.036771
  0.12863804  0.06824914  0.03242519 -0.05112243  0.15449122  0.15391441
  0.06296984 -0.06639684  0.02702981 -0.06517228  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]"
